,datetime,humidity,precipcover,windspeed,cloudcover,visibility,location,sunrise_time,sunset_time,Port of Spain precip mm,tempmax c,tempmin c,avgtemp c,feelslikemax c,feelslikemin c,avgfeelsliketemp c,dewpoint c
37,2000-02-09,81.6,0.0,20.8,60.5,7.3,Port of Spain,06:28:12,18:12:30,0.33866666666666667,30.1,21.1,24.6,32.2,21.1,25.3,20.9
38,2000-02-10,85.6,0.0,19.5,70.5,7.1,Port of Spain,06:27:58,18:12:47,18.3769,29.3,21.8,24.3,32.2,21.8,24.9,21.6
39,2000-02-11,80.3,0.0,18.3,44.7,7.4,Port of Spain,06:27:44,18:13:03,2.77495,30.1,21.8,25.3,33.7,21.8,26.3,21.4
40,2000-02-12,74.4,0.0,17.2,44.2,7.4,Port of Spain,06:27:28,18:13:19,1.72085,30.1,22.1,25.4,33.4,22.1,26.1,20.3
41,2000-02-13,87.3,0.0,5.8,66.7,8.0,Port of Spain,06:27:11,18:13:33,1.4986,25.2,20.8,22.4,25.2,20.8,22.4,20.1
42,2000-02-14,75.1,0.0,13.9,47.5,6.9,Port of Spain,06:26:54,18:13:48,0.5206999999999999,31.1,22.1,26.5,33.8,22.1,27.7,21.3
43,2000-02-15,70.1,0.0,15.0,62.0,6.9,Port of Spain,06:26:36,18:14:01,0.9270999999999999,31.1,24.2,28.4,34.7,24.2,30.8,22.2
44,2000-02-16,81.8,0.0,17.2,74.0,10.5,Port of Spain,06:26:16,18:14:14,2.1272499999999996,30.1,23.1,25.9,33.4,23.1,27.1,22.4
45,2000-02-17,70.0,0.0,13.9,77.8,10.2,Port of Spain,06:25:56,18:14:26,2.0256499999999997,31.1,22.1,26.3,31.9,22.1,26.8,19.8
46,2000-02-18,86.0,0.0,17.2,85.5,6.0,Port of Spain,06:25:36,18:14:38,2.80035,28.1,21.1,23.9,30.2,21.1,24.4,21.2
47,2000-02-19,72.7,0.0,20.8,76.7,7.0,Port of Spain,06:25:14,18:14:49,5.7785,30.1,23.8,26.8,32.7,23.8,27.9,21.3
48,2000-02-20,86.2,0.0,13.9,92.5,7.5,Port of Spain,06:24:52,18:15:00,0.127,28.1,23.7,25.3,32.1,23.7,25.9,22.8
49,2000-02-21,84.3,0.0,15.0,90.6,4.0,Port of Spain,06:24:28,18:15:10,8.451849999999999,30.1,24.7,26.4,34.3,24.7,28.0,23.4
50,2000-02-22,77.6,0.0,16.1,72.1,6.2,Port of Spain,06:24:04,18:15:19,0.62865,30.1,24.6,26.9,33.4,24.6,28.2,22.5
51,2000-02-23,79.0,0.0,13.9,35.8,6.8,Port of Spain,06:23:40,18:15:28,0.24764999999999998,31.1,22.7,25.9,33.8,22.7,26.8,21.7
52,2000-02-24,79.2,0.0,16.1,58.1,8.5,Port of Spain,06:23:14,18:15:37,0.6476999999999999,31.1,23.1,26.2,33.8,23.1,27.3,22.0
53,2000-02-25,76.1,0.0,11.4,66.2,8.6,Port of Spain,06:22:48,18:15:45,0.0,31.1,23.1,26.3,33.8,23.1,27.5,21.6
54,2000-02-26,73.1,0.0,15.0,55.7,9.1,Port of Spain,06:22:22,18:15:52,0.0762,32.1,20.7,27.3,35.0,20.7,28.9,21.7
55,2000-02-27,82.6,0.0,10.3,40.8,9.7,Port of Spain,06:21:54,18:15:59,0.7493,31.1,21.1,24.8,34.7,21.1,25.6,21.4
56,2000-02-28,74.5,0.0,15.0,79.1,9.8,Port of Spain,06:21:26,18:16:05,2.0193,32.7,22.1,27.3,37.8,22.1,29.5,22.0
57,2000-02-29,80.5,0.0,12.8,66.9,9.1,Port of Spain,06:20:58,18:16:11,0.0,30.1,22.1,25.5,33.4,22.1,26.8,21.7
58,2000-03-01,74.6,0.0,15.0,47.2,8.9,Port of Spain,06:20:28,18:16:16,0.8255,31.1,23.1,26.3,34.7,23.1,27.4,21.3
59,2000-03-02,71.3,0.0,15.0,78.3,7.3,Port of Spain,06:19:59,18:16:21,0.0,32.1,22.1,27.7,35.0,22.1,29.6,21.6
60,2000-03-03,84.1,0.0,13.9,60.8,8.1,Port of Spain,06:19:29,18:16:26,0.127,29.1,23.1,25.7,32.8,23.1,26.5,22.8
61,2000-03-04,80.4,0.0,16.1,40.6,9.5,Port of Spain,06:18:58,18:16:30,6.223,32.1,22.8,26.2,35.9,22.8,27.4,22.2
62,2000-03-05,84.3,0.0,11.4,46.9,7.3,Port of Spain,06:18:27,18:16:34,0.0,31.1,23.1,25.6,34.7,23.1,26.7,22.5
63,2000-03-06,66.6,0.0,16.1,54.4,14.7,Port of Spain,06:17:55,18:16:37,0.24764999999999998,30.7,21.3,27.2,32.0,21.3,28.1,20.0
64,2000-03-07,67.1,0.0,9.2,70.0,11.3,Port of Spain,06:17:23,18:16:41,0.0,31.2,20.1,26.7,32.8,20.1,27.2,19.3
65,2000-03-08,71.4,0.0,13.9,80.6,10.7,Port of Spain,06:16:50,18:16:43,0.5206999999999999,30.1,20.7,26.1,32.0,20.7,27.0,20.2
66,2000-03-09,72.9,0.0,12.8,67.5,9.4,Port of Spain,06:16:17,18:16:46,0.24764999999999998,32.1,20.1,25.8,34.3,20.1,26.7,20.1
67,2000-03-10,69.0,0.0,16.1,78.1,9.2,Port of Spain,06:15:44,18:16:48,0.0,32.3,22.7,26.8,34.3,22.7,27.7,20.2
68,2000-03-11,76.7,0.0,20.8,76.8,5.6,Port of Spain,06:15:10,18:16:50,1.56845,30.8,23.1,26.6,35.3,23.1,28.0,22.1
69,2000-03-12,70.5,0.0,21.9,80.8,3.1,Port of Spain,06:14:36,18:16:51,1.778,32.1,24.1,27.5,34.3,24.1,28.6,21.3
70,2000-03-13,71.2,0.0,17.2,63.9,4.9,Port of Spain,06:14:02,18:16:53,5.46735,31.7,23.1,26.8,33.1,23.1,27.4,20.7
71,2000-03-14,70.5,0.0,20.8,34.3,6.6,Port of Spain,06:13:28,18:16:54,14.2748,32.1,22.7,26.4,33.7,22.7,27.1,20.1
72,2000-03-15,76.6,0.0,21.9,43.3,6.7,Port of Spain,06:12:53,18:16:54,0.7493,30.1,23.1,25.4,32.7,23.1,26.2,20.9
73,2000-03-16,72.8,0.0,18.3,38.4,7.4,Port of Spain,06:12:18,18:16:55,0.0,31.2,22.3,25.8,34.2,22.3,26.4,20.3
74,2000-03-17,66.8,0.0,17.2,50.0,7.9,Port of Spain,06:11:43,18:16:56,0.0,32.1,22.1,26.4,33.0,22.1,26.9,19.2
75,2000-03-18,89.5,0.0,0.0,55.0,8.3,Port of Spain,06:11:07,18:16:56,0.0,25.3,21.1,22.4,25.3,21.1,22.4,20.6
76,2000-03-23,88.8,0.0,5.8,90.0,16.5,Port of Spain,06:08:09,18:16:56,0.99695,24.7,23.3,23.8,24.7,23.3,23.8,21.8
77,2000-03-24,84.0,0.0,15.0,90.0,8.3,Port of Spain,06:07:33,18:16:55,0.4445,29.1,23.3,26.0,33.7,23.3,27.5,23.1
78,2000-03-25,86.9,0.0,17.2,92.9,7.9,Port of Spain,06:06:57,18:16:55,3.0987999999999998,29.6,23.1,25.6,33.4,23.1,26.7,23.2
79,2000-03-26,89.1,0.0,11.4,97.9,4.9,Port of Spain,06:06:21,18:16:55,4.32435,29.1,22.1,24.1,32.1,22.1,24.2,22.1
80,2000-03-27,84.9,0.0,11.4,95.0,6.5,Port of Spain,06:05:45,18:16:54,2.1717,30.1,22.1,25.4,33.4,22.1,26.6,22.4
81,2000-03-28,80.3,0.0,21.9,87.8,6.2,Port of Spain,06:05:09,18:16:54,1.1683999999999999,31.1,24.1,27.0,35.6,24.1,28.7,23.1
82,2000-03-29,75.3,0.0,17.2,51.3,7.2,Port of Spain,06:04:33,18:16:54,0.5016499999999999,31.3,24.1,27.0,34.7,24.1,28.4,22.0
83,2000-03-30,69.6,0.0,15.0,50.6,8.3,Port of Spain,06:03:57,18:16:53,0.0,31.1,23.1,27.6,33.8,23.1,29.0,21.2
84,2000-03-31,81.1,0.0,12.8,72.4,7.2,Port of Spain,06:03:22,18:16:53,1.8224500000000001,30.1,22.1,25.6,33.4,22.1,26.4,21.8
85,2000-04-01,79.1,0.0,13.9,68.0,9.5,Port of Spain,06:02:46,18:16:53,0.24764999999999998,31.1,21.7,26.1,34.7,21.7,27.4,21.9
86,2000-04-02,87.3,0.0,13.9,87.4,6.8,Port of Spain,06:02:11,18:16:53,1.5239999999999998,29.3,22.8,25.2,33.4,22.8,25.9,22.8
87,2000-04-03,73.5,0.0,12.8,87.3,10.0,Port of Spain,06:01:36,18:16:53,5.5245,31.2,23.7,26.9,33.8,23.7,27.9,21.5
88,2000-04-04,77.4,0.0,12.8,74.2,9.1,Port of Spain,06:01:01,18:16:53,0.7493,32.1,21.1,26.8,35.9,21.1,28.4,22.1
89,2000-04-05,86.9,0.0,11.4,82.4,6.6,Port of Spain,06:00:26,18:16:53,1.5239999999999998,30.1,23.8,26.3,36.4,23.8,28.2,23.8
90,2000-04-06,78.3,0.0,16.1,71.3,8.8,Port of Spain,05:59:52,18:16:54,3.49885,32.1,24.8,27.8,35.9,24.8,29.7,23.3
91,2000-04-07,75.1,0.0,16.1,63.8,9.3,Port of Spain,05:59:18,18:16:54,2.2796499999999997,31.1,24.1,27.2,34.7,24.1,28.6,22.1
92,2000-04-08,75.5,0.0,16.1,53.3,9.1,Port of Spain,05:58:44,18:16:55,0.0,32.1,23.1,26.8,35.0,23.1,28.1,21.8
93,2000-04-09,74.8,0.0,12.8,58.7,9.0,Port of Spain,05:58:10,18:16:56,0.7493,32.1,22.1,26.8,35.3,22.1,28.2,21.7
94,2000-04-10,92.4,0.0,13.9,93.8,5.6,Port of Spain,05:57:37,18:16:57,0.127,27.1,23.1,24.4,29.7,23.1,24.5,23.1
95,2000-04-11,81.1,0.0,18.3,94.1,7.8,Port of Spain,05:57:04,18:16:59,1.0032999999999999,30.3,22.8,26.1,34.3,22.8,27.3,22.4
96,2000-04-12,73.1,0.0,17.2,85.8,8.5,Port of Spain,05:56:32,18:17:00,0.0,31.1,24.8,27.1,33.8,24.8,28.3,21.7
97,2000-04-13,73.3,0.0,19.5,80.0,9.1,Port of Spain,05:56:00,18:17:02,2.1018499999999998,31.1,23.1,26.8,33.8,23.1,28.0,21.4
98,2000-04-14,78.8,0.0,18.3,66.8,7.6,Port of Spain,05:55:28,18:17:04,14.9733,31.1,24.1,26.7,34.7,24.1,28.1,22.6
99,2000-04-15,88.8,0.0,19.5,87.8,5.4,Port of Spain,05:54:57,18:17:07,0.0,29.1,23.6,25.4,33.7,23.6,25.8,23.4
100,2000-04-16,76.0,0.0,23.0,61.3,7.3,Port of Spain,05:54:26,18:17:10,0.0,30.3,25.1,27.5,34.4,25.1,29.2,22.7
101,2000-04-17,78.8,0.0,20.8,65.5,6.5,Port of Spain,05:53:55,18:17:12,0.37465,31.1,23.8,27.1,36.7,23.8,28.9,22.9
102,2000-04-18,79.5,0.0,17.2,61.3,7.0,Port of Spain,05:53:25,18:17:16,0.0,31.1,24.1,27.1,35.6,24.1,28.7,23.0
103,2000-04-19,74.4,0.0,19.5,48.8,8.1,Port of Spain,05:52:56,18:17:19,0.0,31.1,24.1,27.3,34.7,24.1,28.8,22.2
104,2000-04-20,74.1,0.0,19.5,63.9,8.0,Port of Spain,05:52:27,18:17:23,0.0,31.7,24.1,27.6,35.5,24.1,29.1,22.2
